sample_ID,geo_loc_name,species,observed,shannon,richness_0,richness_20,richness_50,richness_80,diversities_inverse_simpson,diversities_gini_simpson,diversities_shannon,diversities_fisher,diversities_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_noncore_abundance,rarity_rare_abundance
SRR6442697,Estrecho de Magallanes,Megaptera novaeangliae,31,2.121628695,31,31,31,31,6.112103996,0.836390218,2.121628695,3.907415296,3,0.029298893,0.61783244,0.028296778,0.085541995,0.060383157,0.302220999,0.494860499,3293,0.302220999,0.163609782,0.559563142,0.970701107,2.055226419,0.00917768,0.076174743,0.076174743
SRR6442698,Estrecho de Magallanes,Megaptera novaeangliae,33,1.499137322,33,33,33,33,2.505872926,0.600937466,1.499137322,4.844428475,1,0.018159477,0.428752776,0.011601264,0.115721757,0.055798086,0.61382761,0.706390721,2699,0.61382761,0.399062534,0.874914715,0.981840523,2.060117615,0.007505117,0.024789629,0.024789629
SRR6442699,Estrecho de Magallanes,Megaptera novaeangliae,43,2.249372615,43,43,43,43,7.388570499,0.864655822,2.249372615,5.368152796,3,0.033914236,0.598046513,0.034206345,0.073974734,0.059928078,0.24249737,0.438648598,3919,0.24249737,0.135344178,0.503372316,0.966085764,2.059856773,0.005692717,0.282965163,0.282965163
SRR6442700,Estrecho de Magallanes,Megaptera novaeangliae,29,1.306574019,29,29,29,29,2.644111206,0.621801081,1.306574019,3.094775491,1,0.013899595,0.38801878,0.012241256,0.059439187,0.040113318,0.525010323,0.838430833,19071,0.525010323,0.378198919,0.992512044,0.986100405,2.057839375,0.002890571,0.000220234,0.000220234
SRR6442701,Estrecho de Magallanes,Megaptera novaeangliae,26,1.077437671,26,26,26,26,1.873330615,0.466191396,1.077437671,2.956294064,1,0.011430258,0.330695441,0.008672827,0.083000595,0.043749732,0.71437359,0.853496002,13936,0.71437359,0.533808604,0.98241747,0.988569742,2.05690087,0.004459709,0.001127742,0.001127742
SRR6442702,Estrecho de Magallanes,Megaptera novaeangliae,21,1.13120425,21,21,21,21,2.740499746,0.635103049,1.13120425,2.010697744,2,0.011794075,0.371553921,0.012687499,0.055859963,0.023831964,0.490391717,0.776757657,33864,0.490391717,0.364896951,0.998102961,0.988205925,2.049704312,0.003301716,8.69E-05,8.69E-05
SRR6442703,Estrecho de Magallanes,Megaptera novaeangliae,37,1.857345181,37,37,37,37,4.234235799,0.763829874,1.857345181,4.534646981,2,0.022951267,0.514369262,0.019602944,0.096891211,0.071890971,0.375859676,0.646097546,5957,0.375859676,0.236170126,0.865480472,0.977048733,2.058084336,0.008833365,0.021957221,0.021957221
SRR6442704,Estrecho de Magallanes,Megaptera novaeangliae,32,1.002099491,32,32,32,32,1.750739907,0.428812929,1.002099491,3.400734514,1,0.010738001,0.289144793,0.008105277,0.069088744,0.040061316,0.745326202,0.83882625,30937,0.745326202,0.571187071,0.991037872,0.989261999,2.056847398,0.003926954,0.000578202,0.000578202
SRR6442705,Estrecho de Magallanes,Megaptera novaeangliae,28,1.205727754,28,28,28,28,2.714704078,0.631635725,1.205727754,3.14213419,2,0.012709469,0.361840862,0.012568074,0.092084381,0.035548158,0.436311338,0.843558151,10163,0.436311338,0.368364275,0.96921822,0.987290531,2.055286589,0.00983128,0.001502597,0.001502597
SRR6442706,Estrecho de Magallanes,Megaptera novaeangliae,30,1.247172599,30,30,30,30,2.317749133,0.568546921,1.247172599,3.05669465,1,0.012642555,0.366686334,0.01073032,0.065283461,0.041378275,0.626691938,0.778049958,35049,0.626691938,0.431453079,0.966223827,0.987357445,2.054002018,0.006043593,0.000357609,0.000357609
SRR6442708,Estrecho de Magallanes,Megaptera novaeangliae,27,1.91225134,27,27,27,27,5.313144567,0.811787542,1.91225134,2.669137735,2,0.023600497,0.58020206,0.024597892,0.059074953,0.055767578,0.277559741,0.523752519,18317,0.277559741,0.188212458,0.888548785,0.976399503,2.039394477,0.005561196,0.003045778,0.003045778
SRR6442709,Estrecho de Magallanes,Megaptera novaeangliae,36,1.884562181,36,36,36,36,5.064898724,0.802562686,1.884562181,3.865054439,2,0.023206669,0.52589709,0.023448605,0.056695684,0.049229561,0.333154531,0.504501143,14285,0.333154531,0.197437314,0.1117123,0.976793331,2.047572071,0.00270535,0.214305705,0.214305705
SRR6442710,Estrecho de Magallanes,Megaptera novaeangliae,27,0.951866936,27,27,27,27,2.127504299,0.529965697,0.951866936,2.673666775,1,0.009428537,0.288808875,0.009849557,0.059862009,0.021034376,0.617340187,0.905435351,40116,0.617340187,0.470034303,0.99739928,0.990571463,2.054771437,0.005047552,0.0001385,0.0001385
SRR6442711,Estrecho de Magallanes,Megaptera novaeangliae,31,1.328594867,31,31,31,31,2.715796869,0.631783948,1.328594867,3.524065331,1,0.013353952,0.386895695,0.012573134,0.076064,0.037091915,0.542106619,0.787277878,12630,0.542106619,0.368216052,0.958494291,0.986646048,2.056518338,0.006438321,0.001931496,0.001931496
SRR6442712,Estrecho de Magallanes,Megaptera novaeangliae,36,1.935502743,36,36,36,36,5.228291622,0.808732934,1.935502743,3.687157111,2,0.024209337,0.540112324,0.024205054,0.056031399,0.057697082,0.286708051,0.528901644,18382,0.286708051,0.191267066,0.918863275,0.975790663,2.042530547,0.003400193,0.011214399,0.011214399
SRR6442713,Estrecho de Magallanes,Megaptera novaeangliae,24,1.259058866,24,24,24,24,3.091726366,0.676556111,1.259058866,2.317963269,2,0.013330352,0.39617292,0.014313548,0.051284733,0.028780201,0.39755028,0.748195703,28919,0.39755028,0.323443889,0.994075031,0.986669648,2.048969545,0.001072268,9.62E-05,9.62E-05
SRR6442714,Estrecho de Magallanes,Megaptera novaeangliae,26,1.805505023,26,26,26,26,4.435494373,0.774545988,1.805505023,2.622321289,2,0.0216251,0.554159461,0.020534696,0.056594131,0.060083679,0.384612484,0.560187018,20401,0.384612484,0.225454012,0.958203722,0.9783749,2.041833686,0.002431989,0.00294101,0.00294101
SRR6442715,Estrecho de Magallanes,Megaptera novaeangliae,35,1.605436006,35,35,35,35,4.074942459,0.754597762,1.605436006,3.568191069,2,0.017761806,0.451555229,0.018865474,0.056425461,0.03531972,0.377039079,0.58714706,24477,0.377039079,0.245402238,0.996641969,0.982238194,2.05167448,0.00355828,0.000585345,0.000585345
SRR6442716,Estrecho de Magallanes,Megaptera novaeangliae,44,0.65109736,44,44,44,44,1.447381722,0.309097259,0.65109736,4.548626502,1,0.007422182,0.172057276,0.006700841,0.086929387,0.022983344,0.822707206,0.922141187,59448,0.822707206,0.690902741,0.99875448,0.992577818,2.059120535,0.0049544,0.000429012,0.000429012
